sentence1	sentence2	simalarty
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
<Entity>Bodemuseum</Entity>, Grünes Gewölbe Dresden)."	"Die
Angriffe seien „Vergeltung und Selbstjustiz“ gewesen für einen kurz zuvor erfolgten Streit an
seinem Kiosk <Entity>in</Entity> der Wildenbruchstraße (Neukölln)."	0
"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke <Entity>Kreuzberg</Entity> und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	0
Bisher schweigt <Entity>Mario B</Entity>. zu den Vorwürfen.	"Es ist der 6. Februar 2018, eine Wohnung in der Falkenberger Chaussee (Berlin-
Hohenschönhausen). Gerrit <Entity>S. (39</Entity>) liegt halbtot in seinem Blut."	0
Der Generalbundesanwalt hat die ISIS-Rückkehrerin <Entity>Leonora M. (21</Entity>) aus Sachsen-	"Generalbundesanwalt klagt
ISIS-Braut <Entity>Leonora M</Entity>. an"	1
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	1
"In <Entity>Syrien</Entity> soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	Leonora M. mit ihrer Tochter in <Entity>Syrien</Entity>	1
"Bei Ampelrot in den Gegenverkehr, Slalom in der
<Entity>Gneisenaustraße</Entity>, Kollision. Mehringdamm/Yorckstraße, wieder Kollisionen."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Generalbundesanwalt klagt
ISIS-Braut <Entity>Leonora M</Entity>. an"	"Laut eines Haftbefehls gegen <Entity>M</Entity>. aus dem Jahr 2020 soll ihr Ehemann 2015 eine Frau als
Sklavin gekauft haben, um diese zusammen mit ihren zwei Kindern „gewinnbringend“
weiterzuverkaufen."	1
"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	0
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	1
"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim <Entity>in</Entity> der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	Seit 2015 in <Entity>Deutschland</Entity>, mehrfach vorbestraft	0
"Im 7er BMW raste <Entity>Halil G. (41</Entity>) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und Schöneberg. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	"„Das Video aus der Dashcam erinnert an das Videospiel Fast&Furious“, sagt <Entity>Andreas
Winkelmann (55</Entity>)."	0
Auf der Anklagebank: Aberrahmane M. (24) aus Tunesien und <Entity>Mestafa B. (17</Entity>) aus Algerien.	"Feiger Sex-Gangster und

Komplize vor Gericht

<Entity>Mestafa B. (17</Entity>, li.) wird in Handschellen ins Gericht geführt."	1
"Polizei sucht Spione  
aus dem Grünen <Entity>Gewölbe</Entity>"	"Urteil nach brutalen Angriffen auf Tschetschenen in <Entity>Berlin</Entity>
Nasser Rammou"	0
"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	„Das ist als rassistische Tat zu werten“, sagt Amtsrichter <Entity>Carsten Schwanitz</Entity>.	0
"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	"Der Fall vom 1. Februar 2016: Hamdi H. fährt einen Audi A 6 TDI (225 PS), <Entity>Marvin N</Entity>. einen
AMG-Mercedes (380 PS)."	0
Der Staat wurde im Grundbuch der <Entity>Villa</Entity> direkt nach der Sparkasse Leverkusen eingetragen.	"Mit einem Polizei-Panzer rammten sie unter anderem den Zugang zur <Entity>Villa in
Leverkusen</Entity> auf, sprengten die Eingangstür."	1
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer<Entity>-</Entity>, Zossener Straße."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	0
"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	"Clan-Boss <Entity>Nasser Rammou</Entity>
muss wieder in Haft"	1
"Die inzwischen frühpensionierten Polizisten rasten rückwärts in das Schaufenster dieses <Entity>Bamberger
Juweliers</Entity>"	"Seit gestern stehen die beiden inzwischen wegen psychischer Probleme frühpensionierten
Polizisten aus Hamburg und Berlin deshalb vor dem <Entity>Landgericht Bamberg</Entity>."	0
"<Entity>Julius Everling</Entity> begründet: „Ich gebe Ihnen die
Chance, sich selbst zu stellen zur Strafverbüßung.“"	Seit Ende Mai sitzt <Entity>Halil G</Entity>. in U-Haft.	0
"Der Haupt-Tatverdächtige <Entity>Badia Al-Zein</Entity> und sein älterer Sohn Sehmus (28) sitzen weiter
in U-Haft."	"Der Haupt-Tatverdächtige Badia Al-Zein und sein älterer Sohn <Entity>Sehmus (28</Entity>) sitzen weiter
in U-Haft."	0
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	0
"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"Der Afrikaner reiste im März 2015 als Flüchtling nach
<Entity>Deutschland</Entity> ein, lebte zunächst im Rhein-Hunsrück-Kreis."	"Der Afrikaner reiste im März 2015 als Flüchtling nach
Deutschland ein, lebte zunächst im <Entity>Rhein-Hunsrück</Entity>-Kreis."	0
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
<Entity>Bodemuseum</Entity>, Grünes Gewölbe Dresden)."	"Er ist so schwerkriminell, dass er seit der letzten Haftentlassung im Februar 2018 eine
elektronische Fußfessel tragen muss (passiert selten in <Entity>Deutschland</Entity>)."	0
<Entity>Mohamed M. (33</Entity>, li.) soll der Komplize vom Überfall auf die ältere Seniorin (93) gewesen sein.	Dort entkleidete <Entity>Mestafa B</Entity>. den Unterleib der gefesselten Seniorin und versuchte, sie vergewaltigen.	0
Am Donnerstag begann der Prozess gegen Mario B. (31) am <Entity>Berliner Landgericht</Entity>.	"Das <Entity>Landgericht</Entity> habe inzwischen einem Antrag der Staatsanwaltschaft auf
Wiederaufnahme des Verfahrens als zulässig erachtet, sagte ein Gerichtssprecher."	1
"Clan-Boss <Entity>Nasser Rammou (44</Entity>, trotz anderer Schreibweise gehört er zum
berüchtigten Remmo-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	0
Der Generalbundesanwalt hat die ISIS-Rückkehrerin Leonora M. (21) aus <Entity>Sachsen</Entity>-	"In <Entity>Syrien</Entity> soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	0
<Entity>Mohamed M. (33</Entity>, li.) soll der Komplize vom Überfall auf die ältere Seniorin (93) gewesen sein.	Auf der Anklagebank: Aberrahmane M. (24) aus Tunesien und <Entity>Mestafa B. (17</Entity>) aus Algerien.	0
"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	"Denn: Erst wurde wegen fahrlässiger Tötung gegen <Entity>Hamdi H</Entity>. ermittelt, dann gegen beide
Fahrer wegen Totschlags."	1
"Am 8. November 2020 fanden Spaziergänger im Buchholzer Graben/Ecke Schönerlinder
<Entity>Straße</Entity> einen männlichen Oberschenkelknochen ohne Gewebe."	"Er soll am 6. September 2020 den Hochleitungsbau-Monteur Stefan T. (44) aus <Entity>Lichtenberg</Entity>
getötet haben."	0
Das berichtet die in <Entity>Halle</Entity> erscheinende Mitteldeutsche Zeitung (Mittwochsausgabe).	"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach <Entity>Syrien</Entity> aus und schloss sich dem Islamischen Staat an."	0
"Edith Blum soll am 13. Januar im Bereich der <Entity>Treveris-</Entity>Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	"Edith Blum soll am 13. Januar im Bereich der Treveris-Passage <Entity>in der Innenstadt von Trier</Entity> mit
mehreren Leuten Alkohol getrunken haben."	0
<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	1
"Der Afrikaner reiste im März 2015 als Flüchtling nach
<Entity>Deutschland</Entity> ein, lebte zunächst im Rhein-Hunsrück-Kreis."	Seit 2015 in <Entity>Deutschland</Entity>, mehrfach vorbestraft	1
Das Duo soll einen Mann (39) aus <Entity>Neuss</Entity> fast umgebracht haben.	Die Polizei spürte Alex S. (32) in einer Wohnung <Entity>in Mönchengladbach</Entity> auf	0
"Die
Angriffe seien „Vergeltung und Selbstjustiz“ gewesen für einen kurz zuvor erfolgten Streit an
seinem Kiosk <Entity>in</Entity> der Wildenbruchstraße (Neukölln)."	"Urteil nach brutalen Angriffen auf Tschetschenen in <Entity>Berlin</Entity>
Nasser Rammou"	0
Bisher schweigt <Entity>Mario B</Entity>. zu den Vorwürfen.	Neben dem aktuellen Prozess könnte ein älterer gegen <Entity>Mario B</Entity>. wieder aufgenommen werden.	1
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"<Entity>Mario B</Entity>. wird festgenommen und kommt
in Untersuchungshaft."	Neben dem aktuellen Prozess könnte ein älterer gegen <Entity>Mario B</Entity>. wieder aufgenommen werden.	1
<Entity>Rammou</Entity> muss drei Jahre und neun Monate in Haft, mal wieder …	Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	1
"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim <Entity>in</Entity> der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
<Entity>Luxemburger Straße in Trier (Rheinland-Pfalz</Entity>)."	0
"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. <Entity>Goebenstraße</Entity>, Bülowstraße – dort hängt er die
Verfolger ab."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus <Entity>Zeitz (Burgenlandkreis</Entity>)."	Leonora M. mit ihrer Tochter in <Entity>Syrien</Entity>	0
Am Donnerstag begann der Prozess gegen <Entity>Mario B. (31</Entity>) am Berliner Landgericht.	"Es ist der 6. Februar 2018, eine Wohnung in der Falkenberger Chaussee (Berlin-
Hohenschönhausen). Gerrit <Entity>S. (39</Entity>) liegt halbtot in seinem Blut."	0
"Der Somalier hatte am 25. Juni in der <Entity>Würzburger Innenstadt</Entity> auf ihm offensichtlich
unbekannte Menschen eingestochen."	"Messer-Killer von <Entity>Würzburg</Entity>
kommt in die Psychiatrie
Abdirahman J. (24) wird nach der Bluttat von einem Beamten am Boden fixiert"	0
"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
<Entity>Bodemuseum</Entity>, Grünes Gewölbe Dresden)."	"Der Remmo-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes <Entity>Gewölbe</Entity> Dresden)."	0
"Generalbundesanwalt klagt
ISIS-Braut <Entity>Leonora M</Entity>. an"	"Im Jahr 2015 hatte sich die 15-jährige <Entity>Leonora M</Entity>. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach Syrien aus und schloss sich dem Islamischen Staat an."	1
"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach <Entity>Syrien</Entity> aus und schloss sich dem Islamischen Staat an."	"In <Entity>Syrien</Entity> soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus Zeitz (Burgenlandkreis)."	1
"Der 24-Jährige wurde 2015 in <Entity>Deutschland</Entity> erstmals
registriert."	"Messer-Killer von <Entity>Würzburg</Entity>
kommt in die Psychiatrie
Abdirahman J. (24) wird nach der Bluttat von einem Beamten am Boden fixiert"	0
<Entity>Hamdi H. (27</Entity>) weinte die ganze Zeit.	<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	0
"Beide sollen dann
zur Kreisverkehr-Baustelle am Kopf der <Entity>Römerbrücke in Trier-West</Entity> gegangen sein, um zu
Alkohol zu trinken."	"Edith Blum soll am 13. Januar im Bereich der <Entity>Treveris-</Entity>Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	0
"<Entity>Mario B</Entity>. soll ihn während eines
Trinkgelages mit der Faust zu Boden gebracht und ihm dann bis zu acht Mal mit „stampfenden
Ausholbewegungen“ und schweren Stahlkappen-Schuhen auf den Kopf getreten haben."	"Am 20. Dezember 2015 soll er <Entity>Jean W. (52</Entity>) in einer Wohnung in der Dolgenseestraße
(Berlin-Lichtenberg) attackiert haben."	0
Das Duo soll einen Mann (39) aus <Entity>Neuss</Entity> fast umgebracht haben.	"Er war Ende Juni
blutüberströmt und lebensgefährlich verletzt nachts auf einem <Entity>Feldweg in Mönchengladbach</Entity>
aufgefunden worden."	0
Felix B. in Schutzkleidung der <Entity>Berliner Polizei</Entity>	"Seit gestern stehen die beiden inzwischen wegen psychischer Probleme frühpensionierten
Polizisten aus Hamburg und Berlin deshalb vor dem <Entity>Landgericht Bamberg</Entity>."	0
"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	"Auch der Verteidiger von <Entity>Hamdi H</Entity>. sagt: „Das Rennen war ihm nicht ansatzweise wichtig
genug, um den Tod eines Menschen billigend in Kauf zu nehmen.“"	1
<Entity>Aberrahmane M. (24</Entity>) steht wegen Überfalls und körperlicher Misshandlung einer Seniorin (72) vor Gericht	Auf der Anklagebank: <Entity>Aberrahmane M. (24</Entity>) aus Tunesien und Mestafa B. (17) aus Algerien.	1
"<Entity>Mario B</Entity>. wird festgenommen und kommt
in Untersuchungshaft."	Am Donnerstag begann der Prozess gegen <Entity>Mario B. (31</Entity>) am Berliner Landgericht.	1
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Vorm <Entity>S-Bahnhof</Entity> Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, Bülowstraße – dort hängt er die
Verfolger ab."	0
Auf dem Dach hatten sie ein Blaulicht angebracht. Täuschend echt, so die wahre <Entity>Polizei</Entity>.	"Die Tat: Bei einer Probefahrt am 15. Januar dieses Jahres waren die Männer mit einem BMW
rückwärts ins Schaufenster eines <Entity>Bamberger Juweliers</Entity> gedonnert."	0
"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	"Urteil nach brutalen Angriffen auf Tschetschenen in Berlin
Nasser <Entity>Rammou</Entity>"	0
Bei der Razzia im Juni wurde diese <Entity>Villa in Leverkusen</Entity> durchsucht, es kam zu mehreren Festnahmen	Einer der Söhne wurde aus der <Entity>Villa</Entity> geführt	1
<Entity>Aberrahmane M. (24</Entity>) steht wegen Überfalls und körperlicher Misshandlung einer Seniorin (72) vor Gericht	"Feiger Sex-Gangster und

Komplize vor Gericht

<Entity>Mestafa B. (17</Entity>, li.) wird in Handschellen ins Gericht geführt."	0
"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	0
Auf der Anklagebank: Aberrahmane M. (24) aus Tunesien und <Entity>Mestafa B. (17</Entity>) aus Algerien.	Dort entkleidete <Entity>Mestafa B</Entity>. den Unterleib der gefesselten Seniorin und versuchte, sie vergewaltigen.	1
Der Generalbundesanwalt hat die ISIS-Rückkehrerin Leonora M. (21) aus <Entity>Sachsen</Entity>-	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: Martin
Lemke (30) aus <Entity>Zeitz (Burgenlandkreis</Entity>)."	0
"Der Fall vom 1. Februar 2016: <Entity>Hamdi H</Entity>. fährt einen Audi A 6 TDI (225 PS), Marvin N. einen
AMG-Mercedes (380 PS)."	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	0
<Entity>Marvin</Entity> habe geschwiegen: „Er gab nur Gas.“	"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	0
"Die Tat: Bei einer Probefahrt am 15. Januar dieses Jahres waren die Männer mit einem BMW
rückwärts ins Schaufenster eines <Entity>Bamberger Juweliers</Entity> gedonnert."	Felix B. in Schutzkleidung der <Entity>Berliner Polizei</Entity>	0
"Anfang Juni stürmte die Polizei die <Entity>Al-Zein-Villa in Leverkusen</Entity>,
verhaftete vier Clan-Mitglieder."	Einer der Söhne wurde aus der <Entity>Villa</Entity> geführt	1
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	"Mercedes-Beifahrerin <Entity>Olesya K. (22</Entity>) vor Gericht: „Ich war schockiert. Erstens über die
Geschwindigkeit, zweitens über die roten Ampeln.“"	0
Am Donnerstag begann der Prozess gegen <Entity>Mario B. (31</Entity>) am Berliner Landgericht.	Neben dem aktuellen Prozess könnte ein älterer gegen <Entity>Mario B</Entity>. wieder aufgenommen werden.	1
"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	"Der <Entity>Remmo</Entity>-Clan ist in spektakuläre Millionen-Verbrechen verstrickt (Goldmünze
Bodemuseum, Grünes Gewölbe Dresden)."	1
"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. <Entity>Mittenwalder</Entity>-,
Fürbringer-, Zossener Straße."	"Rotlicht-Verstoß Blücherstraße, die Polizei hängt sich mit Dashcam dran. Mittenwalder-,
Fürbringer-, <Entity>Zossener Straße</Entity>."	0
"Am 13. Oktober 2017
wurde die Ordnungswidrigkeit Autorennen in <Entity>Deutschland</Entity> zur Straftat."	"Vorm S-Bahnhof Yorckstraße in den Gegenverkehr.
Baustellenschild umgenietet, Auto demoliert. Goebenstraße, <Entity>Bülowstraße</Entity> – dort hängt er die
Verfolger ab."	0
"An einer Kreuzung fährt Rentner <Entity>Michael W. (69</Entity>) mit seinem Jeep bei Grün los, Hamdi H.
rammt ihn mit seinem Audi."	"Staatsanwalt <Entity>Christian</Entity> Fröhlich: „Wir haben geprüft, ob bedingter Tötungsvorsatz bei dem
Rennen vorlag. Wir haben Anhaltspunkte dafür.“"	0
"Der Messerstecher von <Entity>Würzburg</Entity> soll nach dpa-Informationen in einer
Psychiatrie untergebracht werden."	"Der Somalier hatte am 25. Juni in der <Entity>Würzburger Innenstadt</Entity> auf ihm offensichtlich
unbekannte Menschen eingestochen."	0.5
"Im Jahr 2015 hatte sich die 15-jährige Leonora M. unbemerkt von ihren Eltern radikalisiert, sie
reiste nach <Entity>Syrien</Entity> aus und schloss sich dem Islamischen Staat an."	Leonora M. mit ihrer Tochter in <Entity>Syrien</Entity>	1
"Edith Blum soll am 13. Januar im Bereich der Treveris-Passage <Entity>in der Innenstadt von Trier</Entity> mit
mehreren Leuten Alkohol getrunken haben."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
<Entity>Luxemburger Straße in Trier (Rheinland-Pfalz</Entity>)."	0
"Bei Ampelrot in den Gegenverkehr, Slalom in der
Gneisenaustraße, Kollision. <Entity>Mehringdamm</Entity>/Yorckstraße, wieder Kollisionen."	"Im 7er BMW raste Halil G. (41) am 29. Oktober 2020 vormittags 5,4 Kilometer durch die
Bezirke Kreuzberg und <Entity>Schöneberg</Entity>. Verbotenes Kraftfahrzeugrennen, vorsätzliche Gefährdung
des Straßenverkehrs, Unfallflucht, Fahren ohne Führerschein – dafür wird er verurteilt."	0
"Der Haupt-Tatverdächtige <Entity>Badia Al-Zein</Entity> und sein älterer Sohn Sehmus (28) sitzen weiter
in U-Haft."	"„Mein Mandant ist aus der Haft entlassen. Es besteht kein dringender Tatverdacht“, so sein
Verteidiger <Entity>Goran Bronisch</Entity> zu BILD."	0
"Edith Blum soll am 13. Januar im Bereich der <Entity>Treveris-</Entity>Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	Seit 2015 in <Entity>Deutschland</Entity>, mehrfach vorbestraft	0
"Derzeit befindet sich Abdirahman J. (24) noch in Untersuchungshaft in einem <Entity>Gefängnis in
Würzburg</Entity>."	"Messer-Killer von <Entity>Würzburg</Entity>
kommt in die Psychiatrie
Abdirahman J. (24) wird nach der Bluttat von einem Beamten am Boden fixiert"	0.3
"Am 20. Dezember 2015 soll er <Entity>Jean W. (52</Entity>) in einer Wohnung in der Dolgenseestraße
(Berlin-Lichtenberg) attackiert haben."	Am Donnerstag begann der Prozess gegen <Entity>Mario B. (31</Entity>) am Berliner Landgericht.	0
Clan-Boss <Entity>Nasser Rammou</Entity> schwieg im Prozess.	Er könne das Urteil anfechten, belehrte ihn Richter <Entity>Schwanitz</Entity>.	0
"Edith Blum soll am 13. Januar im Bereich der <Entity>Treveris-</Entity>Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim <Entity>in</Entity> der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	0
"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen Edith Blum
(63) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
<Entity>Luxemburger Straße in Trier (Rheinland-Pfalz</Entity>)."	Seit 2015 in <Entity>Deutschland</Entity>, mehrfach vorbestraft	0
"<Entity>Nasser Rammou</Entity> saß 15 Jahre, also ein Drittel seines
Lebens, im Gefängnis, meist wegen Drogendelikten."	"Clan-Boss Nasser Rammou (44, trotz anderer Schreibweise gehört er zum
berüchtigten <Entity>Remmo</Entity>-Clan) kippte letztens vor Gericht um und kam ins Krankenhaus."	0
"Der Anwalt von <Entity>Marvin N</Entity>. sagt, aus seiner Sicht handle es sich aber rechtlich nur um eine
„übermäßige Straßennutzung“, die als Ordnungswidrigkeit geahndet werde (400 Euro und ein
Monat Fahrverbot)."	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	1
"Seit gestern stehen die beiden inzwischen wegen psychischer Probleme frühpensionierten
Polizisten aus <Entity>Hamburg und Berlin</Entity> deshalb vor dem Landgericht Bamberg."	"Vier Tage nach dem Bruch: Festnahme in <Entity>Berlin</Entity> beim Verkauf eines zu vor geraubten
Handys."	0.2
"<Entity>Mario B</Entity>. soll ihn während eines
Trinkgelages mit der Faust zu Boden gebracht und ihm dann bis zu acht Mal mit „stampfenden
Ausholbewegungen“ und schweren Stahlkappen-Schuhen auf den Kopf getreten haben."	Bisher schweigt <Entity>Mario B</Entity>. zu den Vorwürfen.	1
"Beide sollen dann
zur Kreisverkehr-Baustelle am Kopf der <Entity>Römerbrücke in Trier-West</Entity> gegangen sein, um zu
Alkohol zu trinken."	Seit 2015 in <Entity>Deutschland</Entity>, mehrfach vorbestraft	0
"Die
nun angeklagte <Entity>Leonora M</Entity>. soll laut Ermittlern seine Drittfrau gewesen sein."	"In Syrien soll sie ein ranghohes Mitglied des ISIS-Geheimdienstes geheiratet haben: <Entity>Martin
Lemke (30</Entity>) aus Zeitz (Burgenlandkreis)."	0
"<Entity>Edith Blum</Entity> soll am 13. Januar im Bereich der Treveris-Passage in der Innenstadt von Trier mit
mehreren Leuten Alkohol getrunken haben."	"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen <Entity>Edith Blum
(63</Entity>) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	1
"An einer Kreuzung fährt Rentner Michael W. (69) mit seinem Jeep bei Grün los, <Entity>Hamdi H</Entity>.
rammt ihn mit seinem Audi."	Während der Staatsanwalt die Anklage verlas, starrte <Entity>Marvin N. (24</Entity>) auf den Tisch.	0
"Ein Zeuge entdeckte am 14. Januar 2021 die Leiche der Obdachlosen <Entity>Edith Blum
(63</Entity>) zwischen Baucontainern auf dem Platz vor einem Obdachlosenheim in der
Luxemburger Straße in Trier (Rheinland-Pfalz)."	"Gegen 22 Uhr traf sie in der Nähe der
Obdachlosenunterkunft „Benedikt-<Entity>Labre</Entity>-Haus“ auf den Angeschuldigten."	0
